CATEGORY;URL;ANCHORTEXT
TRAVEL;https://en.ilmatieteenlaitos.fi/weather/espoo/kivenlahti;Weather - Kivenlahti Finland (FMI.fi)
TRAVEL;https://www.mygingergarlickitchen.com/;MyGingerGarlicKitchen
TRAVEL;https://localhost:1313/;localhost:1313
TRAVEL;file:///home/mint/Desktop/Y/_pali_github_scripts_outputs/index.html;MGGK Scripts Outputs- INDEX of Summary Files
TRAVEL;file:///home/mint/Desktop/Y/_pali_github_scripts_outputs/mggk-sitestats.html;MGGK Sitestats
TRAVEL;https://192.168.3.16/pi03-plotting-outputs/_TMP_PI03_PYTHON_TEMPERATURE_PLOTS_PROGRAM_OUTPUT.html;RPI4 -Temperature Plots
TRAVEL;https://analytics.google.com/analytics/web/#/p251225617/reports/reportinghub;Google Analytics
TRAVEL;https://app01-homepage.abhishekpali.us/index.html;React - app01-homepage
TRAVEL;https://app02-foodblogfeeds.abhishekpali.us/index.html;React - app02-foodblogfeeds
TRAVEL;https://app03-tictactoe.abhishekpali.us/index.html;React - app03-tictactoe
TRAVEL;https://app04-openmultiplelinks.abhishekpali.us/index.html;React - app04-openmultiplelinks
TRAVEL;https://app-mggk01-image-finder.abhishekpali.us/index.html;React - app-mggk01-image-finder
TRAVEL;https://app02-foodblogfeeds.vercel.app/;React Vercel - app02-foodblogfeeds
TRAVEL;https://app-mggk01-image-finder.vercel.app/;React Vercel - app-mggk01-image-finder
TRAVEL;https://vercel.com/login;VERCEL login
TRAVEL;https://app.short.io/users/dashboard/325285/links;SHORT.IO (URL shortener)
TRAVEL;https://areena.yle.fi/1-3371178;School - Pikku Kakkonen (Yle Areena)
TRAVEL;https://areena.yle.fi/audio/ohjelmat/57-DDRw1lBwg;School - YLE Audio Stories
TRAVEL;https://audiojungle.net/category/music-kits?sort=sales;Royalty-Free-Music - AudioJungle
TRAVEL;https://docs.google.com/document/d/120Lny9rU6dohEgISChgTIY5tEhWBKidWxzpgL_v3YTA/edit?usp=sharing;School - English-Homework
TRAVEL;https://docs.google.com/document/d/1XzJvgbzjLRik3IzikXP2KSJ-4L76K1e0xOJQ31dM7A4/edit;School - Words I Know
TRAVEL;https://edu.typingmaster.com/login?id=cdkcn9md3;School - Touch Typing Tutorial
TRAVEL;https://espoo.inschool.fi/;School - WILMA (espoo.inschool.fi)
TRAVEL;https://getcomics.info/?s=donald%20duck;Comics - Donald Duck
TRAVEL;https://incompetech.com/music/royalty-free/music.html;Royalty-Free-Music - Incompetech
TRAVEL;https://matplotlib.org/gallery/index.html;Python - MatPlotLib Gallery
TRAVEL;https://meet.google.com/ami-tbyr-rir;Millie-Google-Meet-Link
TRAVEL;https://oopperabaletti.fi/en/stage24/;School- Opera (Stage24 Performances)
TRAVEL;https://oppilas.otava.fi/#/;School - oppilas.otava.fi
TRAVEL;https://pandas.pydata.org/pandas-docs/stable/user_guide/visualization.html;Python - Plotting with Pandas
TRAVEL;https://reittiopas.hsl.fi/reitti/Espoonlahden%20uimah.%20E4012,%20Espoo%3A%3A60.14776,24.6582/Merivalkama,%20Espoo%3A%3A60.153275,24.631935;HSL - Espoonlahti-uimahalli → Merivalkama (146(A), 124, etc.)
TRAVEL;https://reittiopas.hsl.fi/reitti/Merivalkama,%20Espoo%3A%3A60.153275,24.631935/Espoonlahden%20uimah.%20E4013,%20Espoo%3A%3A60.14766,24.65846;HSL - Merivalkama → Espoonlahti-uimahalli / ice-halli (146(A), 124, etc.)
TRAVEL;https://search.google.com/search-console?utm_source=about-page&resource_id=https://www.mygingergarlickitchen.com/;Google Search Console
TRAVEL;https://sendy.concepro.com/my-scripts/sendy-subscriber-names.php;Sendy - Subs Count
TRAVEL;https://stackabuse.com/how-to-format-dates-in-python/;Python - Date formatting
TRAVEL;https://talktotransformer.com;AI + NLP - OpenAI (TalkToTransformer)
TRAVEL;https://teknoaxe.com/Home.php;Royalty-Free-Music - TechnoAxe
TRAVEL;https://translate.google.com;Google Translate
TRAVEL;https://vps.abhishekpaliwal.com/scripts-html-outputs/602-mggk-plotting-outputs/_TMP_602_PYTHON_PLOTS_PROGRAM_OUTPUT.html;VPS - PYTHON CSV-PLOTS
TRAVEL;https://vps.abhishekpaliwal.com/scripts-html-outputs/INDEX-OF-OUR-EVENTS.html;VPS - EVENTS TIMETABLE
TRAVEL;https://vps.abhishekpaliwal.com/tree.html;VPS-TREE
TRAVEL;https://www.10monkeys.com/uk/;School - 10monkeys.com
TRAVEL;https://www.bensound.com/;Royalty-Free-Music - BenSound
TRAVEL;https://www.bingel.fi/pupil/dashboard;School - Bingel Online
TRAVEL;https://www.crummy.com/software/BeautifulSoup/bs4/doc/;Python - Beautiful Soup4 Tutorial
TRAVEL;https://www.ellibslibrary.com/fi/collection/0?format=MP3&language=fi&audience=kids;School - HELMET - ELLIBS Kids Audiobooks
TRAVEL;https://www.google.com/adsense/new/u/0/pub-7892938469578087/home?sourceid=aso&noaccount=false&marketing=true;Google Adsense
TRAVEL;https://www.google.com/inputtools/try/;Google Hindi TransLiteration
TRAVEL;https://www.hs.fi/lastenuutiset/;School - HS_fi (Lasten Uutiset News)
TRAVEL;https://www.hsl.fi/en/timetables-and-routes;HSL - timetables-and-routes
TRAVEL;https://www.notes.abhishekpaliwal.com/;NOTES.AP.com
TRAVEL;https://www.reittiopas.fi/pysakit/HSL%3A2413211;Merivalkama → Iso-omena (146, 147, 165, etc.)
TRAVEL;https://www.reittiopas.fi/;HSL - Reittiopas - Journey Planner
TRAVEL;https://www.sanomapro.fi/;School - SanomaPro Login
TRAVEL;https://www.storylineonline.net/library/;School - English stories by celebrities
TRAVEL;https://api.cloudflare.com/#cloudflare-images-properties;Cloudflare API docs
TRAVEL;https://dash.cloudflare.com/;Cloudflare Login
TRAVEL;https://dash.cloudflare.com/sign-up/images;Cloudflare Images
TRAVEL;https://pages.cloudflare.com/;Cloudflare Pages
TRAVEL;https://www.leelasrecipes.com/;LeelasRecipes.com
TRAVEL;file:///home/mint/Desktop/Y/_pali_github_scripts_outputs/leelasrecipes-sitestats.html;LeelasRecipes Sitestats
TRAVEL;https://www.mantracoaching.in;mantracoaching.in
