CATEGORY;URL;ANCHORTEXT
04-PROGRAMMING;https://matplotlib.org/gallery/index.html;Python - MatPlotLib Gallery
04-PROGRAMMING;https://pandas.pydata.org/pandas-docs/stable/user_guide/visualization.html;Python - Plotting with Pandas
04-PROGRAMMING;https://stackabuse.com/how-to-format-dates-in-python/;Python - Date formatting
04-PROGRAMMING;https://www.crummy.com/software/BeautifulSoup/bs4/doc/;Python - Beautiful Soup4 Tutorial
04-PROGRAMMING;https://analytics.google.com/analytics/web/#/p251225617/reports/reportinghub;Google Analytics
04-PROGRAMMING;https://search.google.com/search-console?utm_source=about-page&resource_id=https://www.mygingergarlickitchen.com/;Google Search Console
04-PROGRAMMING;https://translate.google.com;Google Translate
04-PROGRAMMING;https://www.google.com/adsense/new/u/0/pub-7892938469578087/home?sourceid=aso&noaccount=false&marketing=true;Google Adsense
04-PROGRAMMING;https://www.google.com/inputtools/try/;Google Hindi TransLiteration
04-PROGRAMMING;https://drive.google.com/drive/my-drive;Google Drive
04-PROGRAMMING;https://drive.google.com/drive/quota;Google Drive - Find Quota 
04-PROGRAMMING;https://www.gmail.com;Google Mail - Gmail 
04-PROGRAMMING;https://api.cloudflare.com/#cloudflare-images-properties;Cloudflare API docs
04-PROGRAMMING;https://dash.cloudflare.com/;Cloudflare Login
04-PROGRAMMING;https://dash.cloudflare.com/sign-up/images;Cloudflare Images
04-PROGRAMMING;https://pages.cloudflare.com/;Cloudflare Pages
04-PROGRAMMING;https://vercel.com/login;VERCEL login
04-PROGRAMMING;https://app.short.io/users/dashboard/325285/links;SHORT.IO (URL shortener)
04-PROGRAMMING;https://cloud.digitalocean.com/login;DigitalOcean Login
04-PROGRAMMING;https://www.semrush.com/login/;SEMRUSH Login
04-PROGRAMMING;https://ssmllint.com/;SSMl Linter - SSML validator
04-PROGRAMMING;https://play.google.com/books;Google Play Books - Login
04-PROGRAMMING;https://core.telegram.org/bots/api#sendmessage;Telegram API Usage
