CATEGORY;URL;ANCHORTEXT
NEWS;file:///home/mint/Desktop/Y/5-news.html;1292
NEWS;https://en.ilmatieteenlaitos.fi/weather/espoo/kivenlahti;FMI-weather-kivenlahti
NEWS;https://news.google.com/nwshp?hl%3Dhi%26ned%3Dhi_in;samachar
NEWS;https://slashdot.org/;SlashDot
NEWS;https://twitter.com/khabarbaazi;ख़बरबाज़ी
NEWS;https://twitter.com/KyaUkhaadLega;Lying-Lama
NEWS;https://twitter.com/nntaleb;Nassim-Taleb
NEWS;https://www.bbc.com/;BBC
NEWS;https://www.hindustantimes.com;HT
NEWS;https://www.hs.fi/;HS.fi
NEWS;https://www.hs.fi/metro/;Metro Helsinki
NEWS;https://www.thehindu.com;TheHindu
NEWS;https://www.timesofindia.com;TOI
NEWS;https://www.yle.fi/news;YLE English news
