CATEGORY;URL;ANCHORTEXT
05-PERSONAL;https://corporate.nordea.fi/#!/;Banking - Nordea Corporate Login
05-PERSONAL;https://docs.google.com/document/d/1kqaQckligHllL_WafpHBXwDPstsuQ5-NmUlLRH9Ag48/edit?usp=sharing;Google Docs - Details for reference
05-PERSONAL;https://docs.google.com/forms/d/e/1FAIpQLSdsaz4p2nn88bnpeW_937I2tG4GC0wPDPgd6AemMKPQzpXvIg/viewform?c=0&w=1;Google Form - BP-MON
05-PERSONAL;https://docs.google.com/forms/d/e/1FAIpQLSeG-_cAQ1wpShGVqArKvVWKmBFvitaOd0BbDMPXhM9tiEwTGQ/viewform;Google Form - HABIT TRACKER
05-PERSONAL;https://docs.google.com/spreadsheets/d/1LSlQHEO8Qh1hj2fdg2rC7BPvEkTsKeRunyEqkcyf8TI/edit?usp=sharing;Google Form - Concepro VAT VERO TAX checking
05-PERSONAL;https://docs.google.com/spreadsheets/d/1neLA0MbPspdz_D5ZWszTIsCjlFAnGTqdvI6huzEoEac/edit#gid=0;Google Form - Monthly water meter reading
05-PERSONAL;https://docs.google.com/spreadsheets/d/1ZLL84xaGyBdU6bsDOuRINt7mjnWdlhtQcgCYcWced6A/edit#gid=0;Google Form - Our Food List
05-PERSONAL;https://enterfinland.fi/eServices/dashboard;Banking - MIGRI Residence Permit Card (Visa)
05-PERSONAL;https://en.ytk.fi/;Banking - YTK
05-PERSONAL;https://netbank.nordea.fi/#!/;Banking - Nordea Private Login
05-PERSONAL;https://palvelu.dna.fi/kirjaudu/;Banking - DNA-corporate
05-PERSONAL;https://rahoitus.teliasonerafinance.fi/en/MyPages/Overview;Banking - TELIA-Business
05-PERSONAL;https://verkkoasiointi.elisa.fi/;Banking - OMA-ELISA
05-PERSONAL;https://www.danskebank.fi/en-fi/Personal/Pages/Personal.aspx?secsystem=JS;Banking - Danske Login
05-PERSONAL;https://www.espoo.fi/fi-FI/Asioi_verkossa/Sosiaali_ja_terveyspalvelut/Hae_taydentavaa_ja_ehkaisevaa_toimeentulotukea_verkossa;Banking - Espoo-city child hobby
05-PERSONAL;https://www.kela.fi;Banking - KELA
05-PERSONAL;https://www.nordea.fi/en/business/our-services/accounts-payments/corporate-packages.html;Banking - Nordea Corporate packages
05-PERSONAL;https://www.op.fi/etusivu;Banking - OP.fi
05-PERSONAL;https://www.onlinesbi.com/;Banking - SBI Online
05-PERSONAL;https://downloads.concepro.com/dropbox-public-files/LCE/index.html;LCE Homepage
05-PERSONAL;https://www.icicibank.com/Personal-Banking/cards/personal-banking-cards.page;Banking - ICICI Login - CreditCard
05-PERSONAL;https://www.paypal.com/uk/home; PayPal UK
05-PERSONAL;https://kauppa.kierratyskeskus.fi/;Kierratyskeskus
