CATEGORY;URL;ANCHORTEXT
DESIGNING;https://www.vanschneider.com/colors/;Tobias Van Schneider - ColorClaim
DESIGNING;https://typespiration.com/;Typographic-CSS - TYPEspiration
DESIGNING;https://graphicburger.com/;Graphic-BURGER MOCKUPS
DESIGNING;https://graphicriver.net/;GRAPHIC-river
DESIGNING;https://iconsvg.xyz/;SVG Icons (monocolor, resizable)
DESIGNING;https://pinterest.com/psdcovers/psd-cover-actions/;PSDcovers-Pinterest
DESIGNING;https://typeslab.com/;Slab poster maker
DESIGNING;https://uk.moo.com/design-templates/business-cards/;MOO CARDS - Design inspiration
DESIGNING;https://videohive.net/;VIDEOhive
DESIGNING;https://www.canva.com/templates/;CANVA Design Templates
DESIGNING;https://www.cssauthor.com/free-mockup-templates-psd-designs/;500+ Free Mockup Templates
DESIGNING;https://www.freepik.com;FreePik free vectors
DESIGNING;https://www.homemade-gifts-made-easy.com/personalized-poster-80th-birthday-gift.html;Typography Homemade Posters
DESIGNING;https://www.inkydeals.com/;INKYDEALS
DESIGNING;https://www.pixeden.com/psd-mock-up-templates;PIXEDEN
DESIGNING;https://www.psdcovers.com/;PSDcovers

