CATEGORY;URL;ANCHORTEXT
09-WEB-DEVELOPMENT;https://chart.googleapis.com/chart?chs=520x520&cht=qr&chl=https://www.concepro.com;Google Barcode Creator
09-WEB-DEVELOPMENT;https://fortawesome.github.io/Font-Awesome/cheatsheet/;FONT AWESOME CHEATSHEET
09-WEB-DEVELOPMENT;https://getbootstrap.com/docs/5.0/getting-started/introduction/;Bootstrap 5
09-WEB-DEVELOPMENT;https://getbootstrap.com/docs/5.1/components/;Bootstrap 5 - Components
09-WEB-DEVELOPMENT;https://icons.getbootstrap.com/;Bootstrap 5- SVG Icons
09-WEB-DEVELOPMENT;https://www.smashingmagazine.com/;SMASHING Magazine
09-WEB-DEVELOPMENT;https://html-cleaner.com;HTML cleaner
09-WEB-DEVELOPMENT;https://htmlarrows.com;HTML Symbols+Arrows Icons
09-WEB-DEVELOPMENT;https://html-css-js.com/html/character-codes/icons/;HTML Symbols Colored Icons

