CATEGORY;URL;ANCHORTEXT
MY-WEBAPPS;https://www.stockfotoage.com;stockfotoage.com
MY-WEBAPPS;https://www.mggkanu.com;mggkanu.com
MY-WEBAPPS;https://conce.pro;conce.pro
MY-WEBAPPS;https://adoria.xyz/;adoria.xyz
MY-WEBAPPS;https://abhishekpali.us;abhishekpali.us
MY-WEBAPPS;https://www.abhishekpaliwal.com;abhishekpaliwal.com
MY-WEBAPPS;https://www.anupamapaliwal.com;anupamapaliwal.com
MY-WEBAPPS;https://www.leelasrecipes.com/;LeelasRecipes.com
MY-WEBAPPS;https://www.mantracoaching.in;mantracoaching.in
MY-WEBAPPS;https://www.notes.abhishekpaliwal.com/;notes.abhishekpaliwal.com
MY-WEBAPPS;https://vps.abhishekpaliwal.com/scripts-html-outputs/602-mggk-plotting-outputs/_TMP_602_PYTHON_PLOTS_PROGRAM_OUTPUT.html;VPS - PYTHON CSV-PLOTS
MY-WEBAPPS;https://vps.abhishekpaliwal.com/scripts-html-outputs/INDEX-OF-OUR-EVENTS.html;VPS - EVENTS TIMETABLE
MY-WEBAPPS;https://vps.abhishekpaliwal.com/tree.html;VPS-TREE
MY-WEBAPPS;https://downloads.concepro.com/dropbox-public-files/LCE/_pali_github_scripts_outputs/leelasrecipes-sitestats.html;LeelasRecipes Sitestats
MY-WEBAPPS;https://sendy.concepro.com/my-scripts/sendy-subscriber-names.php;Sendy - Subs Count
MY-WEBAPPS;https://192.168.3.16/pi03-plotting-outputs/_TMP_PI03_PYTHON_TEMPERATURE_PLOTS_PROGRAM_OUTPUT.html;RPI4 -Temperature Plots
MY-WEBAPPS;https://downloads.concepro.com/_BRAND-CONCEPRO/concepro-08-social/sharing/Index-of-SocialMedia-files-BS.html;Index of images - SocialMedia
MY-WEBAPPS;https://downloads.concepro.com/dropbox-public-files/all-polygonal-backgrounds/all-lowpoly-backgrounds-index.html;Index of images - PolyTextures
MY-WEBAPPS;https://downloads.concepro.com/dropbox-public-files/logos/all-logos-index.html;Index of images - LOGOS
MY-WEBAPPS;https://abhishek-paliwal.github.io/wallpaper_creators/JSON-templates-for-design/Index-of-all-JSON-files.html;Index of images - JSON Templates (designing)
MY-WEBAPPS;https://downloads.concepro.com/sitemap.html;Sitemap - downloads.concepro.com
MY-WEBAPPS;https://downloads.mygingergarlickitchen.com/sitemap.html;Sitemap - downloads.mygingergarlickitchen.com
MY-WEBAPPS;https://app01-homepage.abhishekpali.us/index.html;React - app01-homepage
MY-WEBAPPS;https://app02-foodblogfeeds.abhishekpali.us/index.html;React - app02-foodblogfeeds
MY-WEBAPPS;https://app03-tictactoe.abhishekpali.us/index.html;React - app03-tictactoe
MY-WEBAPPS;https://app04-openmultiplelinks.abhishekpali.us/index.html;React - app04-openmultiplelinks
MY-WEBAPPS;https://app-mggk01-image-finder.abhishekpali.us/index.html;React - app-mggk01-image-finder
MY-WEBAPPS;https://app02-foodblogfeeds.vercel.app/;React Vercel - app02-foodblogfeeds
MY-WEBAPPS;https://app-mggk01-image-finder.vercel.app/;React Vercel - app-mggk01-image-finder
