CATEGORY;URL;ANCHORTEXT
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/2-Mind-And-Personal-Development-Books/201606-Deal-With-Rejection-By-Identifying-Correct-Negative-Emotion.html;Find Negative Emotions correctly
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/Index-Of-All-Markdown-Books.html;Index of My Markdown Books
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/MISC-Books/20150807-Inspirational-Words-Plus-Words-For-Pleasant-And-Unpleasant-Feelings.html;Words for Inspiration + Pleasant and Unpleasant feelings
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/MISC-Books/Abhishek-317-Power-Words-To-Selling-And-Writing-For-Kindle.html;317+29 WORDS THAT SELL
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/MISC-Books/Cooking-Adjectives.html;Cooking Adjectives
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/MISC-Books/The-800-Most-Commonly-Used-Idioms-In-America.html;800-Most-Commonly-Used-Idioms
11-WORDS + VOCABULARY;https://downloads.concepro.com/dropbox-public-files/0000-WORDS-OF-WISDOM-WITH-MARKDOWN/PDFs/Vocabulary-of-Emotions.pdf;Vocabulary-of-Emotions-PDF
11-WORDS + VOCABULARY;https://www.uefap.com/vocab/select/akl.htm;Academic keywords list (AKL)
11-WORDS + VOCABULARY;https://www.uefap.com/vocab/select/awl.htm;Academic keywords list (AWL)
11-WORDS + VOCABULARY;https://www.uefap.com/vocab/select/selfram.htm;Academic keywords - TOC
