CATEGORY;URL;ANCHORTEXT
12-CLI-TOOLS;https://downloads.concepro.com/dropbox-public-files/LCE/ffmpeg-h264-encoding-commands.html;ffmpeg-h264-encoding-commands
12-CLI-TOOLS;https://aria2.github.io/;CLI Tool aria2 (best replacement for wget/curl)
12-CLI-TOOLS;https://exiftool.org/;Exiftool
12-CLI-TOOLS;https://exiftool.org/exiftool_pod.html;Exiftool documentation
12-CLI-TOOLS;https://github.com/davatorium/rofi;ROFI (Linux dmenu type tool)
12-CLI-TOOLS;https://github.com/denisidoro/navi;navi (CLI interactive cheatsheet)
12-CLI-TOOLS;https://github.com/iptv-org/iptv;IPTV - 8000+ channels
12-CLI-TOOLS;https://github.com/junegunn/fzf;fzf fuzzy finder
12-CLI-TOOLS;https://github.com/Nyr/openvpn-install;openvpn (easy insallation script)
12-CLI-TOOLS;https://github.com/ranger/ranger/wiki/Keybindings;ranger - cli file manager
12-CLI-TOOLS;https://github.com/sharkdp/bat;bat - syntax highlighter
12-CLI-TOOLS;https://github.com/sharkdp/fd;fd - alternative to find
12-CLI-TOOLS;https://github.com/ytdl-org/youtube-dl/blob/master/README.md#output-template-examples;youtube-dl - download web videos
12-CLI-TOOLS;https://linkchecker.github.io/linkchecker/install.html;Linkchecker
12-CLI-TOOLS;https://qpdf.readthedocs.io/en/stable/;QPDF (pdf join/extract)
12-CLI-TOOLS;https://rclone.org/;rclone
12-CLI-TOOLS;https://taskwarrior.org/docs/examples.html;task = TaskWarrior Commands
12-CLI-TOOLS;https://wiki.omv-extras.org/doku.php?id=installing_omv5_raspberry_pi;NAS Installing OpenMediaVault (OMV) on Raspberry Pi
12-CLI-TOOLS;https://www.androidpolice.com/2020/03/24/make-personal-vpn-30-minutes/;openvpn (easy insallation tutorial)
12-CLI-TOOLS;https://www.exiftool.org/examples.html;Exiftool examples
12-CLI-TOOLS;https://github.com/yt-dlp/yt-dlp;yt-dlp (a youtube-dl fork)
12-CLI-TOOLS;https://stedolan.github.io/jq/manual/#Basicfilters;jq (json manipulator tutorial)
12-CLI-TOOLS;https://jqplay.org;jq (try online playground)
12-CLI-TOOLS;https://github.com/TomWright/dasel;dasel (multi-format data selector tool)
