CATEGORY;URL;ANCHORTEXT
TRAVEL;file:///home/mint/Desktop/Y/1-travel.html;10929
TRAVEL;file:///home/mint/Desktop/Y/_pali_github_scripts_outputs/index.html;INDEX OF ALL SUMMARY FILES
TRAVEL;file:///home/mint/Desktop/Y/_pali_github_scripts_outputs/leelasrecipes-sitestats.html;LeelasRecipes SiteStats
TRAVEL;file:///home/mint/Desktop/Y/_pali_github_scripts_outputs/mggk-sitestats.html;MGGK SITESTATS
TRAVEL;https://192.168.3.16/pi03-plotting-outputs/_TMP_PI03_PYTHON_TEMPERATURE_PLOTS_PROGRAM_OUTPUT.html;RPI4 -Temperature Plots
TRAVEL;https://analytics.google.com/analytics/web/#/p251225617/reports/reportinghub;Google Analytics
TRAVEL;https://api.cloudflare.com/#cloudflare-images-properties;API docs
TRAVEL;https://app01-homepage.abhishekpali.us/index.html;app01-homepage
TRAVEL;https://app02-foodblogfeeds.abhishekpali.us/index.html;app02-foodblogfeeds
TRAVEL;https://app02-foodblogfeeds.vercel.app/;app02-foodblogfeeds
TRAVEL;https://app03-tictactoe.abhishekpali.us/index.html;app03-tictactoe
TRAVEL;https://app04-openmultiplelinks.abhishekpali.us/index.html;app04-openmultiplelinks
TRAVEL;https://app-mggk01-image-finder.abhishekpali.us/index.html;app-mggk01-image-finder
TRAVEL;https://app-mggk01-image-finder.vercel.app/;app-mggk01-image-finder
TRAVEL;https://app.short.io/users/dashboard/325285/links;SHORT.IO
TRAVEL;https://areena.yle.fi/1-3371178;Pikku Kakkonen - Yle Areena
TRAVEL;https://areena.yle.fi/audio/ohjelmat/57-DDRw1lBwg;YLE Audio - Stories
TRAVEL;https://audiojungle.net/category/music-kits?sort=sales;AudioJungle
TRAVEL;https://dash.cloudflare.com/;Cloudflare Login
TRAVEL;https://dash.cloudflare.com/sign-up/images;Images
TRAVEL;https://docs.google.com/document/d/120Lny9rU6dohEgISChgTIY5tEhWBKidWxzpgL_v3YTA/edit?usp=sharing;English-Homework
TRAVEL;https://docs.google.com/document/d/1XzJvgbzjLRik3IzikXP2KSJ-4L76K1e0xOJQ31dM7A4/edit;Millie - Words I Know
TRAVEL;https://edu.typingmaster.com/login?id=cdkcn9md3;Touch Typing Tutorial
TRAVEL;https://espoo.inschool.fi/;WILMA (espoo.inschool.fi)
